ID,crop,soil_zone,yield(bu/acre),yield(bu/acre)_prov_ave,price_fg ($/bu),vcost_seed,vcost_seed_treatment,vcost_fert_n,vcost_fert_p,vcost_fert_s,lbs_fert_n,lbs_fert_p,lbs_fert_s,vcost_herbicides,vcost_insecticides,vcost_fungicides,lbs_herbicides,lbs_insecticides,lbs_fungicides,vcost_fuel,vcost_repair,vcost_cwk_hlab,vcost_insur_prem,vcost_misc_util,vcost_interest_vexp,fcost_building_repair,fcost_prop_taxes,fcost_bus_overhead,fcost_mach_depre,fcost_building_depre,fcost__mach_inv,fcost_building_inv,fcost_land_inv,fcost_lab_management
13,Feed Barley,Black,91.9,69.4,3.94,22,10.06,49.3,19.44,0,,,,29.69,6.07,0,,,,19.25,10.94,21.05,5.11,4.75,4.79,0.85,7.75,3.73,45.25,1.9,31.72,1.36,59.55,
23,Malt Barley,Black,74.6,56.35,4.7,29.04,12.07,40.75,15.82,0,,,,73.77,6.07,11.85,,,,19.25,10.94,21.05,4.25,4.75,5.71,0.85,7.75,3.73,45.25,1.9,31.72,1.36,59.55,
33,Canola,Black,53.8,41.9,10.7,66.19,9,57.35,27.57,7.59,,,,66.4,8,34.99,,,,20.39,10.94,21.05,9.72,4.75,7.86,0.85,7.75,3.73,45.25,1.9,31.36,1.36,59.55,
43,Corn,Black,108.2,89.7,4.7,93.6,0,58.35,23.5,0,,,,30.48,6.07,0,,,,21.52,12.4,58.26,8.02,4.75,7.25,0.85,7.75,3.73,51.29,1.9,35.97,1.36,59.55,
53,FABA Beans,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Hybrid Fall Rye,Black,66.9,42.5,5.23,69.6,0,39.24,14.92,0,,,,33.3,0,0,,,,19.25,10.94,21.05,5.12,4.75,9.36,0.85,7.75,3.73,45.25,1.9,31.72,1.36,59.55,
73,Flax,Black,34.3,22.8,13.78,15.6,2.04,40.24,10.85,0,,,,64,6.07,0,,,,19.25,10.94,21.05,6.76,4.75,5.28,0.85,7.75,3.73,45.25,1.9,31.72,1.36,59.55,
83,Large Green Lentil(lb/acre),Black,1814.4,1120,0.25,34.13,13.01,2.13,9.04,0,,,,75.09,5.45,7.38,,,,21.52,10.94,22.8,13.9,4.75,5.03,0.85,7.75,3.73,45.25,1.9,31.72,1.36,59.55,
93,Red Lentils,Black,2352,1568,0.2,17.92,16.32,2.77,11.75,0,,,,75.09,5.45,7.38,,,,21.52,10.94,22.8,13.04,4.75,4.8,0.85,7.75,3.73,45.25,1.9,31.72,1.36,59.55,
103,Oats,Black,139.4,99.9,3.02,31.68,10.06,47.92,14.92,0,,,,19.39,6.07,0,,,,19.25,10.94,21.05,6.13,4.75,4.64,0.85,7.75,3.73,45.25,1.9,31.72,1.36,59.55,
113,Green Peas,Black,58.4,40.4,12.3,47.52,13.98,4.98,4.68,0,,,,72.55,5.45,29.26,,,29.26,21.52,10.94,20.3,6.25,4.75,5.88,0.85,7.75,3.73,45.25,1.9,31.72,1.36,59.55,
123,Yellow Peas,Black,58.4,40.4,6.85,40.94,14.14,4.68,19.89,0,,,,72.55,0,29.26,,,,21.52,10.94,20.3,6.25,4.75,5.61,0.85,7.75,3.73,45.25,1.9,31.72,1.36,59.55,
133,Soybean,Black,37.1,27.2,10.66,98,14,2.98,12.66,0,,,,57.24,5.45,0,21.52,,,21.52,10.94,22.3,6.52,4.75,5.86,0.85,7.75,3.73,45.25,1.9,31.72,1.36,59.55,
143,Duram,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Spring Wheat,Black,64.7,49.6,6.42,24.8,9.9,53.83,18.98,0,,,,45.24,6.07,11.85,,,,19.25,10.94,23.1,4.91,4.75,5.34,0.85,7.75,3.73,45.25,1.9,31.72,1.36,59.55,
163,Winter Wheat,Black,68.3,50.7,5.05,29.7,8.69,39.24,17.2,0,,,,65.27,6.07,0,19.25,,,19.25,10.94,23.05,5.11,4.75,10.28,0.85,7.75,3.73,45.25,1.9,31.72,1.36,59.55,
173,Camelina,Black,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,
183,Canary,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Caraway,Black,784,537,0.45,5.8,0.63,20.62,14.5,6.82,,,,38.4,0,10.1,,,,36.24,21.9,19.8,23.31,4.75,4.63,1.71,15.5,7.46,90.5,3.8,63.43,2.7,119.1,
203,Desi Chickpeas,Black,1792,1254,0.16,34.3,13.8,3.02,13.6,0,,,,93.9,5.45,37.52,,,,19.9,8.57,119.8,14.6,3.13,6.12,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
213,Large Chickpeas,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Small Chickpeas,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
