ID,crop,soil_zone,yield(bu/acre),yield(bu/acre)_prov_ave,price_fg ($/bu),vcost_seed,vcost_seed_treatment,vcost_fert_n,vcost_fert_p,vcost_fert_s,lbs_fert_n,lbs_fert_p,lbs_fert_s,vcost_herbicides,vcost_insecticides,vcost_fungicides,lbs_herbicides,lbs_insecticides,lbs_fungicides,vcost_fuel,vcost_repair,vcost_cwk_hlab,vcost_insur_prem,vcost_misc_util,vcost_interest_vexp,fcost_building_repair,fcost_prop_taxes,fcost_bus_overhead,fcost_mach_depre,fcost_building_depre,fcost__mach_inv,fcost_building_inv,fcost_land_inv,fcost_lab_management
11,Feed Barley,Brown,76.7,51.4,3.94,17.6,8.05,40.75,15.82,0,,,,29.69,6.07,0,,,,12.32,8.57,20.8,6.93,3.13,3.88,0.47,3.91,2.05,35.45,1.05,24.85,0.75,55.33,
21,Malt Barley,Brown,62.7,42.04,4.7,23.32,9.7,34.71,13.55,0,,,,73.77,6.07,11.85,,,,12.32,8.57,20.8,4.27,3.13,5.08,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
31,Canola,Brown,48.5,35.3,10.7,66.19,9,51.81,24.86,7,,,,59.55,8,0,,,,13.05,8.57,20.8,10.52,3.13,6.46,0.47,3.97,2.08,35.45,1.05,24.85,0.75,55.33,
41,Corn,Brown,100,67.7,4.7,93.6,0,58.83,21.7,0,,,,30.48,6.07,0,,,,13.77,10.04,49.04,9.78,3.13,6.66,0.47,3.91,2.08,41.53,1.05,29.11,0.75,55.33,
51,FABA Beans,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Hybrid Fall Rye,Brown,48.8,31.5,5.23,69.6,0,28.67,10.85,0,,,,33.3,0,0,,,,12.32,8.57,20.8,10.1,3.13,8.46,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
71,Flax,Brown,30.3,20.1,13.78,13.6,1.78,35.72,9.49,0,,,,64,6.07,0,,,,12.3,8.57,20.8,6.19,3.13,4.15,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
81,Large Green Lentil(lb/acre),Brown,1769.6,1120,0.25,34.13,13.01,2.02,8.59,0,,,,75.09,5.45,7.38,,,,13.71,8.57,21.8,12.35,3.13,4.69,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
91,Red Lentils (lb/acre),Brown,2083.2,1366,0.2,17.92,16.32,2.45,10.4,0,,,,75.09,5.45,7.38,,,,13.77,8.57,21.8,12.03,3.13,4.44,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
101,Oats,Brown,79.1,41.5,3.02,21.2,8.05,9.94,9.94,0,,,,19.39,6.07,0,,,,12.32,8.57,20.8,5.52,3.13,3.25,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
111,Green Peas,Brown,43.7,28.7,12.3,36.99,10.88,3.51,3.51,0,,,,72.55,5.45,29.26,,,29.26,13.77,8.57,20.3,5.27,3.13,5.14,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
121,Yellow Peas,Brown,43.7,28.7,6.85,31.74,10.96,3.51,14.92,0,,,,72.55,0,29.26,,,,13.77,8.57,20.3,5.27,3.13,4.89,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
131,Soybean,Brown,31.6,19.8,10.66,98,14,2.55,10.85,0,,,,57.24,5.45,0,0,0,0,13.77,8.57,23.05,7.25,3.13,5.58,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
141,Duram,Brown,52.9,42.3,6.61,27.3,9.6,43.76,15.37,0,,,,34.8,6.07,11.85,,,,12.32,8.57,22.3,5.2,3.11,4.58,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
151,Spring Wheat,Brown,38.9,34.2,6.42,19.8,7.9,32.2,11.3,0,,,,45.24,6.07,11.85,,,,12.32,8.57,22.3,3.84,3.12,4.22,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
161,Winter Wheat,Brown,56.2,38.6,5.05,24.9,7.27,32.19,14.01,0,,,,65.27,6.07,0,12.32,,,12.32,8.57,22.3,6.93,3.13,8.7,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
171,Camelina,Brown,1568,1209,0.25,21,0,36.22,9.04,6.17,,,,7.81,0,0,,0,0,19.03,8.57,20.3,3.17,3.13,3.07,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
181,Canary,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Caraway,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Desi Chickpeas,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Large Chickpeas,Brown,2531.2,1590,0.23,62.35,13.81,4.02,18.08,0,,,,93.85,5.45,37.52,,,,19.93,8.57,16.5,16.1,3.13,6.9,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
221,Small Chickpeas,Brown,2307.2,1433,0.16,40.33,13.8,4.02,15.82,0,,,,93.85,5.45,37.52,,,,19.93,8.57,16.5,15.96,3.13,6.9,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
231,Coriander,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Fenugreek,Brown,1175,740,0.24,15,0,1.17,4.97,0,,,,22.84,0,0,,,,15.4,9.66,19.8,0,3.13,2.1,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
251,Brown Mustard,Brown,1321.6,876.3,0.3,26.4,0.5,25.66,12.66,6.17,,,,80.9,0,0,,,,19.03,8.6,20.3,8.63,3.1,4.9,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
261,Oriental Mustard,Brown,1456,985,0.25,26.4,0.5,27.7,13.11,6.17,,,,80.9,0,0,,,,19.03,8.57,20.3,8.7,3.13,4.9,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
271,Yellow Mustard,Brown,1097.8,694.4,0.4,44,1,21.13,10.4,6.17,,,,76.78,0,0,,,,19.03,8.6,20.3,8.8,3.13,5.02,0.47,3.91,2.08,35.45,1.05,24.85,0.75,55.33,
281,Pinto Bean,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Quinoa,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Sun Flower,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
