Days,Uncon_WDP,Cond_WDP,Uncon_NWDP,Cond_NWDP,Random Draw,WorkD_NonWD,
1-Aug,0.68,0.8,0.32,0.62,0.028223284,1,
2-Aug,0.68,0.8,0.32,0.62,0.161220367,1, 
3-Aug,0.68,0.8,0.32,0.62,0.984838762,0,
4-Aug,0.68,0.8,0.32,0.62,0.368617385,0,
5-Aug,0.68,0.8,0.32,0.62,0.775287679,0,
6-Aug,0.68,0.8,0.32,0.62,0.383326436,1,
7-Aug,0.68,0.8,0.32,0.62,0.313915281,1,
8-Aug,0.68,0.8,0.32,0.62,0.175064437,1,
9-Aug,0.68,0.8,0.32,0.62,0.127201506,1,
10-Aug,0.68,0.8,0.32,0.62,0.19438879,1,
11-Aug,0.68,0.8,0.32,0.62,0.183526035,1,
12-Aug,0.68,0.8,0.32,0.62,0.72040293,1,
13-Aug,0.68,0.8,0.32,0.62,0.98109355,0,
14-Aug,0.68,0.8,0.32,0.62,0.754299596,1,
15-Aug,0.68,0.8,0.32,0.62,0.067577779,1,
16-Aug,0.68,0.8,0.32,0.62,0.437137227,1,
17-Aug,0.68,0.8,0.32,0.62,0.1525432,1,
18-Aug,0.68,0.8,0.32,0.62,0.211808994,1,
19-Aug,0.68,0.8,0.32,0.62,0.807629072,0,
20-Aug,0.68,0.8,0.32,0.62,0.339868399,0,
21-Aug,0.68,0.8,0.32,0.62,0.682966838,1,
22-Aug,0.68,0.8,0.32,0.62,0.76280469,1,
23-Aug,0.68,0.8,0.32,0.62,0.877366147,0,
24-Aug,0.68,0.8,0.32,0.62,0.046169606,0,
25-Aug,0.68,0.8,0.32,0.62,0.163902475,0,
26-Aug,0.68,0.8,0.32,0.62,0.231094649,0,
27-Aug,0.68,0.8,0.32,0.62,0.99532758,1,
28-Aug,0.68,0.8,0.32,0.62,0.668060455,1,
29-Aug,0.68,0.8,0.32,0.62,0.783532657,1,
30-Aug,0.68,0.8,0.32,0.62,0.435361933,1,
31-Aug,0.68,0.8,0.32,0.62,0.226100318,1,
1-Sep,0.58,0.88,0.42,0.84,0.908907606,0,
2-Sep,0.58,0.88,0.42,0.84,0.140195182,0,
3-Sep,0.58,0.88,0.42,0.84,0.960973105,1,
4-Sep,0.58,0.88,0.42,0.84,0.625616807,1,
5-Sep,0.58,0.88,0.42,0.84,0.626011567,1,
6-Sep,0.58,0.88,0.42,0.84,0.802529485,1,
7-Sep,0.58,0.88,0.42,0.84,0.545165605,1,
8-Sep,0.58,0.88,0.42,0.84,0.260658294,1,
9-Sep,0.58,0.88,0.42,0.84,0.276775759,1,
10-Sep,0.58,0.88,0.42,0.84,0.611445134,1,
11-Sep,0.58,0.88,0.42,0.84,0.478969102,1,
12-Sep,0.58,0.88,0.42,0.84,0.161340198,1,
13-Sep,0.58,0.88,0.42,0.84,0.365780447,1,
14-Sep,0.58,0.88,0.42,0.84,0.71617986,1,
15-Sep,0.58,0.88,0.42,0.84,0.051194169,1,
16-Sep,0.58,0.88,0.42,0.84,0.726417232,1,
17-Sep,0.58,0.88,0.42,0.84,0.097612158,1,
18-Sep,0.58,0.88,0.42,0.84,0.494741997,1,
19-Sep,0.58,0.88,0.42,0.84,0.707790031,1,
20-Sep,0.58,0.88,0.42,0.84,0.985097415,0,
21-Sep,0.58,0.88,0.42,0.84,0.898755327,0,
22-Sep,0.58,0.88,0.42,0.84,0.977993046,0,
23-Sep,0.58,0.88,0.42,0.84,0.702580582,0,
24-Sep,0.58,0.88,0.42,0.84,0.195811275,0,
25-Sep,0.58,0.88,0.42,0.84,0.425051526,1,
26-Sep,0.58,0.88,0.42,0.84,0.163671975,1,
27-Sep,0.58,0.88,0.42,0.84,0.121255398,1,
28-Sep,0.58,0.88,0.42,0.84,0.256773426,1,
29-Sep,0.58,0.88,0.42,0.84,0.863145351,1,
30-Sep,0.58,0.88,0.42,0.84,0.816327933,1,
1-Oct,0.41,0.89,0.59,0.91,0.398271736,1,
2-Oct,0.41,0.89,0.59,0.91,0.862066369,1,
3-Oct,0.41,0.89,0.59,0.91,0.413793537,1,
4-Oct,0.41,0.89,0.59,0.91,0.614363888,1,
5-Oct,0.41,0.89,0.59,0.91,0.09626253,1,
6-Oct,0.41,0.89,0.59,0.91,0.000927339,1,
