yields,,prices,,,,,Precipitation Growing Degree Days Water Ratio
"Year, Wheat,Barley,Canola, Flax",,Year Flax Barley Canola Wheat,,,"1953, 378.70, 862.35, 0.44",,Year Growing Season
"1967, 1.21, 1.18 1.12 0.75",,"1960, 720.58, 237.99, 469.37 ,383.43",,,"1954 ,278.20, 846.36, 0.33",,(May 15 - August 13)
"1968, 1.68, 2.04 ,1.40, 0.75",,"1961, 863.29, 313.93, 503.59, 398.95",,,"1955, 159.30 ,1022.01, 0.16",,Growing Season
"1969, 2.08, 2.37, 1.24 ,0.94",,"1962 ,789.45, 271.78, 582.38, 388.25",,,"1956, 161.20, 1067.46 ,0.15",,(May 15 - August 13)
"1970, 1.81, 2.37, 1.01, 0.88",,"1963, 738.90, 280.27, 700.68, 414.04",,,"1957 ,173.20 ,1021.85, 0.17",,Water Use / Water
"1971 ,2.08, 2.80 ,1.12 ,1.07",,"1964, 717.58, 293.27, 755.02, 368.15",,,"1958 ,70.50, 973.76, 0.07",,Demand
"1972, 1.68, 1.72, 0.84 ,0.94",,"1965, 654.31, 293.52, 648.19 ,379.13",,,"1959 ,130.10, 1022.34, 0.13",,
"1973, 2.01, 2.42 ,0.73, 0.94",,"1966 ,629.14,, 282.23 ,635.02, 382.19",,,"1960, 196.10, 1049.91 ,0.19",,
"1974 ,1.14 ,1.51 ,0.73, 0.69",,"1967 ,688.29 ,221.85, 489.20, 335.61",,,"1961, 44.90 ,1215.10, 0.04",,
"1975 ,1.68, 1.77, 0.90, 0.88",,"1968, 622.42, 196.55, 442.25, 262.07",,,"1962, 196.00, 997.51, 0.20",,
"1976, 2.35, 2.69 ,1.12, 0.94",,"1969 ,527.88 ,162.02 ,517.42, 245.65",,,"1963, 209.40, 1027.89, 0.20",,
"1977, 1.68, 2.15, 1.12, 0.94",,"1970, 434.62 ,181.93, 525.59 ,272.90",,,"1964 ,145.00 ,1023.96 ,0.14",,
"1978, 2.21, 2.58, 1.40, 1.32",,"1971, 427.31, 147.35, 466.61, 245.58",,,"1965, 272.50, 965.87, 0.28",,
"1979, 1.21, 1.34, 0.62, 0.63",,"1972, 735.67, 262.41, 665.39, 295.21",,,"1966 ,225.20 ,977.56, 0.23",,
"1980, 1.68, 1.88 ,1.12, 1.13",,"1973, 1571.19, 504.87, 1092.43, 696.37",,,"1967, 64.20, 1003.11, 0.06",,
"1981, 2.35, 2.96, 1.46 ,1.38",,"1974, 1474.68, 393.25, 1223.00, 589.87",,,"1968, 118.10 ,865.90 ,0.14",,
"1982, 1.95, 2.63, 1.29, 1.01",,"1975, 918.14, 379.31, 783.43 ,450.21",,,"1969, 241.60, 830.18, 0.29",,
"1983, 1.97 ,2.26 ,1.38, 1.19",,"1976, 886.76 ,296.68, 886.76, 346.13",,,"1970, 214.10, 1105.03, 0.19",,
